# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-343.69834531	0.01272881
-343.66498890	0.01059482
-343.63163249	0.00866250
-343.59827608	0.00718754
-343.56491967	0.00642620
-343.53156326	0.00659317
-343.49820685	0.00731928
-343.46485044	0.00878427
-343.43149403	0.01088735
-343.39813762	0.01307321
-343.36478121	0.01538008
-343.33142480	0.01753624
-343.29806839	0.01921178
-343.26471198	0.02038205
-343.23135557	0.02090595
-343.19799916	0.02089044
-343.16464275	0.01992065
-343.13128634	0.01817374
-343.09792994	0.01554469
-343.06457353	0.01200729
-343.03121712	0.00762573
-342.99786071	0.00270179
-342.96450430	-0.00242209
-342.93114789	-0.00699678
-342.89779148	-0.01046403
-342.86443507	-0.01256063
-342.83107866	-0.01290433
-342.79772225	-0.01177180
-342.76436584	-0.00931978
-342.73100943	-0.00600082
-342.69765302	-0.00211519
-342.66429661	0.00171868
-342.63094020	0.00556352
-342.59758379	0.00865756
-342.56422738	0.01097633
-342.53087097	0.01248695
-342.49751456	0.01312523
-342.46415815	0.01313375
-342.43080174	0.01258985
-342.39744534	0.01181733
-342.36408893	0.01086428
-342.33073252	0.00922486
-342.29737611	0.00689132
-342.26401970	0.00388525
-342.23066329	0.00014858
-342.19730688	-0.00378912
-342.16395047	-0.00732821
-342.13059406	-0.00932392
-342.09723765	-0.00981335
-342.06388124	-0.00829098
-342.03052483	-0.00530170
-341.99716842	-0.00169706
-341.96381201	0.00191368
-341.93045560	0.00465402
-341.89709919	0.00626278
-341.86374278	0.00669802
-341.83038637	0.00657360
-341.79702996	0.00613842
-341.76367355	0.00585697
-341.73031714	0.00592561
-341.69696074	0.00635985
-341.66360433	0.00736255
-341.63024792	0.00871810
-341.59689151	0.01026977
-341.56353510	0.01200001
