# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-342.99786071	-0.00911020
-342.96450430	-0.01382370
-342.93114789	-0.01602137
-342.89779148	-0.01555960
-342.86443507	-0.01288061
-342.83107866	-0.00848553
-342.79772225	-0.00327400
-342.76436584	0.00175853
-342.73100943	0.00624222
-342.69765302	0.01005241
-342.66429661	0.01327263
-342.63094020	0.01561600
-342.59758379	0.01678186
-342.56422738	0.01641517
-342.53087097	0.01403912
-342.49751456	0.01015023
-342.46415815	0.00593090
-342.43080174	0.00245992
-342.39744534	0.00110823
-342.36408893	0.00286411
-342.33073252	0.00741157
-342.29737611	0.01406598
-342.26401970	0.02145632
-342.23066329	0.02749603
-342.19730688	0.03165348
-342.16395047	0.03395505
-342.13059406	0.03446727
-342.09723765	0.03399055
-342.06388124	0.03307538
-342.03052483	0.03207128
-341.99716842	0.03142478
-341.96381201	0.03119690
-341.93045560	0.03101248
-341.89709919	0.03019844
